A,B,C,D,E,G,L,Q,T,U,V,X,Y,AE,AJ,AM,AO,AV
23/08/2026,ĐĐHTMĐT-TikTok-585694438276170905,Chưa thực hiện,23/08/2026,HN,MN_TMDT_00016,TMĐT-TikTok - Tẩy lồng máy giặt Blue - 585694438276170905 - Ngày đổ 23/08/2026 - HN,TP10127,Không,Không,TP_HN_12,1,26851.85185185185,8,TMĐT_MB,HN,585694438276170905,15
23/08/2026,ĐĐHTMĐT-TikTok-585694483207915438,Chưa thực hiện,23/08/2026,HN,MN_TMDT_00016,TMĐT-TikTok - Tẩy lồng máy giặt Blue - 585694483207915438 - Ngày đổ 23/08/2026 - HN,TP32743,Không,Không,TP_HN_12,1,42591.66666666666,8,TMĐT_MB,HN,585694483207915438,15
23/08/2026,ĐĐHTMĐT-TikTok-585694423512745362,Chưa thực hiện,23/08/2026,HN,MN_TMDT_00016,TMĐT-TikTok - Tẩy lồng máy giặt Blue - 585694423512745362 - Ngày đổ 23/08/2026 - HN,TP10127,Không,Không,TP_HN_12,5,16481.2962962963,8,TMĐT_MB,HN,585694423512745362,15
23/08/2026,ĐĐHTMĐT-TikTok-585694241183991073,Chưa thực hiện,23/08/2026,HN,MN_TMDT_00016,TMĐT-TikTok - Tẩy lồng máy giặt Blue - 585694241183991073 - Ngày đổ 23/08/2026 - HN,TP10127,Không,Không,TP_HN_12,5,16481.2962962963,8,TMĐT_MB,HN,585694241183991073,15
23/08/2026,ĐĐHTMĐT-TikTok-585694256909157499,Chưa thực hiện,23/08/2026,HN,MN_TMDT_00016,TMĐT-TikTok - Tẩy lồng máy giặt Blue - 585694256909157499 - Ngày đổ 23/08/2026 - HN,TP10127,Không,Có,TP_HN_12,1,0,8,TMĐT_MB,HN,585694256909157499,15
23/08/2026,ĐĐHTMĐT-TikTok-585694208252413882,Chưa thực hiện,23/08/2026,HN,MN_TMDT_00016,TMĐT-TikTok - Tẩy lồng máy giặt Blue - 585694208252413882 - Ngày đổ 23/08/2026 - HN,TP32743,Không,Không,TP_HN_12,1,42591.66666666666,8,TMĐT_MB,HN,585694208252413882,15
23/08/2026,ĐĐHTMĐT-TikTok-585694160615278412,Chưa thực hiện,23/08/2026,HN,MN_TMDT_00016,TMĐT-TikTok - Tẩy lồng máy giặt Blue - 585694160615278412 - Ngày đổ 23/08/2026 - HN,TP32743,Không,Không,TP_HN_12,1,42591.66666666666,8,TMĐT_MB,HN,585694160615278412,15
23/08/2026,ĐĐHTMĐT-TikTok-585694103685531559,Chưa thực hiện,23/08/2026,HN,MN_TMDT_00016,TMĐT-TikTok - Tẩy lồng máy giặt Blue - 585694103685531559 - Ngày đổ 23/08/2026 - HN,TP10127,Không,Không,TP_HN_12,5,16481.2962962963,8,TMĐT_MB,HN,585694103685531559,15
23/08/2026,ĐĐHTMĐT-TikTok-585694088412628818,Chưa thực hiện,23/08/2026,HN,MN_TMDT_00016,TMĐT-TikTok - Tẩy lồng máy giặt Blue - 585694088412628818 - Ngày đổ 23/08/2026 - HN,TP32743,Không,Không,TP_HN_12,1,42591.66666666666,8,TMĐT_MB,HN,585694088412628818,15
23/08/2026,ĐĐHTMĐT-TikTok-585694044900787296,Chưa thực hiện,23/08/2026,HN,MN_TMDT_00016,TMĐT-TikTok - Tẩy lồng máy giặt Blue - 585694044900787296 - Ngày đổ 23/08/2026 - HN,TP10127,Không,Không,TP_HN_12,1,26851.85185185185,8,TMĐT_MB,HN,585694044900787296,15
