tp1,sl1,tp2,sl2,tp3,sl3,tp4,sl4,misa
TP10127,1,,,,,,,MN_TMDT_00016
TP10127,5,,,,,,,MN_TMDT_00016
TP32743,1,,,,,,,MN_TMDT_00016
TP30671,2,,,,,,,MN_TMDT_00002
TP10127,5,,,,,,,MN_TMDT_00016
TP10127,1,,,,,,,MN_TMDT_00016
,,,,,,,,#N/A
TP32743,1,,,,,,,MN_TMDT_00016
TP10127,5,,,,,,,MN_TMDT_00016
TP30671,1,,,,,,,MN_TMDT_00002
TP10127,1,,,,,,,MN_TMDT_00016
TP32743,1,,,,,,,MN_TMDT_00016
TP32743,1,,,,,,,MN_TMDT_00016
,,,,,,,,#N/A
TP30671,3,,,,,,,MN_TMDT_00002
TP10127,5,,,,,,,MN_TMDT_00016
,,,,,,,,#N/A
TP10127,5,,,,,,,MN_TMDT_00016
TP32743,1,,,,,,,MN_TMDT_00016
TP10127,1,,,,,,,MN_TMDT_00016
TP32743,1,,,,,,,MN_TMDT_00016
TP10127,3,,,,,,,MN_TMDT_00016
,,,,,,,,#N/A
TP32279_02,2,,,,,,,MN_TMDT_00002
TP10127,3,,,,,,,MN_TMDT_00016
TP10127,3,,,,,,,MN_TMDT_00016
,,,,,,,,#N/A
,,,,,,,,#N/A
,,,,,,,,#N/A
TP32743,1,,,,,,,MN_TMDT_00016
TP32279_02,1,,,,,,,MN_TMDT_00002
TP10127,1,,,,,,,MN_TMDT_00016
,,,,,,,,#N/A
TP10127,1,,,,,,,MN_TMDT_00016
TP10127,5,,,,,,,MN_TMDT_00016
,,,,,,,,#N/A
TP10127,1,,,,,,,MN_TMDT_00016
TP32743,1,,,,,,,MN_TMDT_00016
TP32743,1,,,,,,,MN_TMDT_00016
TP10127,3,,,,,,,MN_TMDT_00016
TP10127,3,,,,,,,MN_TMDT_00016
TP32279_02,2,,,,,,,MN_TMDT_00002
TP10127,5,,,,,,,MN_TMDT_00016
TP10127,3,,,,,,,MN_TMDT_00016
,,,,,,,,#N/A
TP10127,3,,,,,,,MN_TMDT_00016
TP32743,1,,,,,,,MN_TMDT_00016
,,,,,,,,#N/A
TP32743,1,,,,,,,MN_TMDT_00016
TP10127,1,,,,,,,MN_TMDT_00016
TP30671,2,,,,,,,MN_TMDT_00002
TP10127,3,,,,,,,MN_TMDT_00016
TP10127,1,,,,,,,MN_TMDT_00016
TP30329_02,1,,,,,,,MN_TMDT_00002
,,,,,,,,#N/A
TP30244_02,1,,,,,,,MN_TMDT_00015
TP32743,1,,,,,,,MN_TMDT_00015
TP10127,3,,,,,,,MN_TMDT_00016
TP10127,3,,,,,,,MN_TMDT_00016
,,,,,,,,#N/A
TP32743,1,,,,,,,MN_TMDT_00016
TP10127,3,,,,,,,MN_TMDT_00016
TP10127,3,,,,,,,MN_TMDT_00016
TP10127,3,,,,,,,MN_TMDT_00016
,,,,,,,,#N/A
TP10127,3,,,,,,,MN_TMDT_00016
TP10127,1,,,,,,,MN_TMDT_00016
TP10127,3,,,,,,,MN_TMDT_00016
TP10127,3,,,,,,,MN_TMDT_00016
TP10127,3,,,,,,,MN_TMDT_00016
TP10127,3,,,,,,,MN_TMDT_00015
TP10127,1,,,,,,,MN_TMDT_00016
,,,,,,,,#N/A
TP10127,1,,,,,,,MN_TMDT_00016
TP30671,1,,,,,,,MN_TMDT_00002
TP10127,3,,,,,,,MN_TMDT_00016
,,,,,,,,#N/A
TP10127,3,,,,,,,MN_TMDT_00016
TP10127,5,,,,,,,MN_TMDT_00016
TP10127,1,,,,,,,MN_TMDT_00016
TP10127,1,,,,,,,MN_TMDT_00016
,,,,,,,,#N/A
TP30671,3,,,,,,,MN_TMDT_00002
TP10127,1,,,,,,,MN_TMDT_00016
,,,,,,,,#N/A
TP10127,3,,,,,,,MN_TMDT_00016
TP10127,3,,,,,,,MN_TMDT_00016
TP10127,1,,,,,,,MN_TMDT_00016
TP10127,3,,,,,,,MN_TMDT_00016
TP10127,1,,,,,,,MN_TMDT_00016
TP32279_02,2,,,,,,,MN_TMDT_00002
TP30244_02,1,,,,,,,MN_TMDT_00015
TP32743,1,,,,,,,MN_TMDT_00015
TP10127,1,,,,,,,MN_TMDT_00016
TP10127,3,,,,,,,MN_TMDT_00016
TP10127,1,,,,,,,MN_TMDT_00016
,,,,,,,,#N/A
TP10127,1,,,,,,,MN_TMDT_00016
TP10127,3,,,,,,,MN_TMDT_00016
TP10127,3,,,,,,,MN_TMDT_00016
TP10127,1,,,,,,,MN_TMDT_00016
TP30244_02,1,,,,,,,MN_TMDT_00002
,,,,,,,,#N/A
,,,,,,,,#N/A
TP10127,3,,,,,,,MN_TMDT_00016
TP32743,1,,,,,,,MN_TMDT_00016
,,,,,,,,#N/A
TP10127,5,,,,,,,MN_TMDT_00016
TP10127,3,,,,,,,MN_TMDT_00016
TP10127,3,,,,,,,MN_TMDT_00016
TP10127,3,,,,,,,MN_TMDT_00016
,,,,,,,,#N/A
TP32743,1,,,,,,,MN_TMDT_00016
,,,,,,,,#N/A
TP32743,1,,,,,,,MN_TMDT_00016
TP10127,1,,,,,,,MN_TMDT_00016
