ma_tp,ten_hang
BC80053,Can  Nước Giặt Beclean Hương Phương Đông ( vàng )
TP10127,Bột tẩy lồng Blue Túi 150g - MỚI SẢN XUẤT
TP10318,Không thấy tên sản phẩm
TP30008,Bột thông cống Blue 100g
TP30244_02,Nước Giặt xả Blue Đậm đặc Hương Thảo Mộc túi 2.1L
TP30329_02,Nước giặt xả Blue Đậm đặc Hương Nước Hoa túi 2.1L
TP30336,Nước Giặt Blue hương nước hoa túi 800 ml  ( màu hồng)
TP30442,Nước rửa chén Blue chiết xuất gạo chai 1.2L (QC*12)
TP30473,Nước rửa chén Blue chiết xuất gạo túi 2.1L (QC*6)
TP30565,Nước thơm lau sàn Blue hương Sả Chanh 1L
TP30671,Bột tẩy lồng Smile Mom 450g ( 20 túi /1 thùng)
TP30732,Nước xả vải Blue Hương Hương Thảo Túi 3.2L
TP30763_1,Viên Giặt xả Blue Muối Hồng túi 13g x 48
TP30879_02,Nước giặt xả Blue Đậm đặc Hương Thảo Mộc túi 3.6L
TP31722,Không thấy tên sản phẩm
TP31951,Nước giặt Kháng khuẩn BeClean Hương biển 2.1L
TP32118,Nước giặt đồ lót Blue chai 510ml
TP32268,Nước lau bếp Blue Chanh 560ml
TP32279_02,Nước lau kính Blue 560ml Hương Ngàn hoa
TP32675,Nước lau bếp Blue Bạch Trà Ô Liu 560ml
TP32743,Bột tẩy lồng máy giặt Blue 150g
TP32781,Viên tẩy Toilet Blue 300g (6 viên x 50 g)
