
----- BẢNG STATUS lúc 14:58:02 15/05/2026 -----
Tên file                         | Trang   | Hệ thống   | Mã khách hàng | PO             | Đơn giá | Trạng thái 
air_waybill_WH6_HCM_15052026.pdf | 1/108   | JIT-CHOICE | WH6_HCM       | 260514DB2557UK |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 2/108   | JIT-CHOICE | WH6_HCM       | 260514DCSTJR9Q |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 3/108   | JIT-CHOICE | WH6_HCM       | 260514DD77QFM8 |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 4/108   | JIT-CHOICE | WH6_HCM       | 260514DDX36UHA |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 5/108   | JIT-CHOICE | WH6_HCM       | 260514DDYUEVXM |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 6/108   | JIT-CHOICE | WH6_HCM       | 260514DE4PWQVS |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 7/108   | JIT-CHOICE | WH6_HCM       | 260514DEJKCJSV |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 8/108   | JIT-CHOICE | WH6_HCM       | 260514DF9NG3M8 |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 9/108   | JIT-CHOICE | WH6_HCM       | 260514DFB0DUDK |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 10/108  | JIT-CHOICE | WH6_HCM       | 260514DFUV72EU |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 11/108  | JIT-CHOICE | WH6_HCM       | 260514DFVNXPF0 |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 12/108  | JIT-CHOICE | WH6_HCM       | 260514DG5M1UFC |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 13/108  | JIT-CHOICE | WH6_HCM       | 260514DHNPBFRS |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 14/108  | JIT-CHOICE | WH6_HCM       | 260514DHV2E7UA |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 15/108  | JIT-CHOICE | WH6_HCM       | 260514DJNY47T7 |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 16/108  | JIT-CHOICE | WH6_HCM       | 260514DJY1YG45 |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 17/108  | JIT-CHOICE | WH6_HCM       | 260514DKH309KF |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 18/108  | JIT-CHOICE | WH6_HCM       | 260514DKMV2A61 |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 19/108  | JIT-CHOICE | WH6_HCM       | 260514DM01QGVD |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 20/108  | JIT-CHOICE | WH6_HCM       | 260514DM22KT1X |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 21/108  | JIT-CHOICE | WH6_HCM       | 260514DMEK2XQ1 |         | ✅Hoàn Thành
air_waybill_WH6_HCM_15052026.pdf | 22/108  | JIT-CHOICE | WH6_HCM       | 260514DP6SRU8K |         | ✅Hoàn Thành
